"nbAct";"listAct";"crew_id"
3;"[20180805AF7715NCECDG01,20180805AF1533ATHCDG01,20180805AF7708CDGNCE01]";"crew69"
3;"[20180806AF1351CPHCDG01,20180806AF1301MADCDG01,20180806AF1300CDGMAD01]";"crew70"
6;"[20180805AF1354CDGALG01,20180806AF1051CPHCDG01,20180806AF1855ALGCDG01,20180805AF1184CDGTUN01,20180805AF1185TUNCDG01,20180806AF1050CDGCPH01]";"crew71"
6;"[20180805AF1823MUCCDG01,20180806AF1851CPHCDG01,20180806AF1441AMSCDG01,20180805AF1822CDGMUC01,20180806AF1440CDGAMS01,20180805AF1350CDGCPH01]";"crew72"
3;"[20180807AF7689MPLCDG01,20180807AF7681MPLCDG01,20180807AF7688CDGMPL01]";"crew73"
6;"[20180807AF1611HAMCDG01,20180807AF1831MXPCDG01,20180806AF1115ZRHCDG01,20180806AF1710CDGHAM01,20180807AF1830CDGMXP01,20180806AF1114CDGZRH01]";"crew74"
3;"[20180807AF1441AMSCDG01,20180807AF1727VCECDG01,20180807AF1440CDGAMS01]";"crew75"
4;"[20180808AF1441AMSCDG01,20180808AF1727VCECDG01,20180807AF1226CDGVCE01,20180808AF1440CDGAMS01]";"crew76"
6;"[20180808AF1831MXPCDG01,20180808AF1611HAMCDG01,20180807AF7517TLSCDG01,20180807AF1710CDGHAM01,20180807AF7516CDGTLS01,20180808AF1830CDGMXP01]";"crew77"
4;"[20180808AF1465LEDCDG01,20180808AF7715NCECDG01,20180807AF1664CDGLED01,20180808AF7708CDGNCE01]";"crew78"
2;"[20180808AF1354CDGALG01,20180809AF1855ALGCDG01]";"crew79"
4;"[20180810AF1497CMNCDG01,20180809AF1596CDGCMN01,20180809AF7689MPLCDG01,20180809AF7688CDGMPL01]";"crew80"
6;"[20180810AF1611HAMCDG01,20180810AF7739BESCDG01,20180809AF7589AJACDG01,20180809AF1510CDGHAM01,20180810AF7736CDGBES01,20180809AF7588CDGAJA01]";"crew81"
6;"[20180809AF1281LHRCDG01,20180809AF1354CDGALG01,20180810AF1051CPHCDG01,20180810AF1855ALGCDG01,20180809AF1280CDGLHR01,20180810AF1050CDGCPH01]";"crew82"
4;"[20180810AF1301MADCDG01,20180811AF1123MUCCDG01,20180810AF1300CDGMAD01,20180810AF1822CDGMUC01]";"crew83"
6;"[20180810AF1462CDGARN01,20180810AF1511HAMCDG01,20180811AF1754CDGALG01,20180811AF1755ALGCDG01,20180811AF1263ARNCDG01,20180810AF1510CDGHAM01]";"crew84"
6;"[20180811AF1581LHRCDG01,20180810AF1281LHRCDG01,20180811AF1659PMICDG01,20180810AF1380CDGLHR01,20180810AF1280CDGLHR01,20180811AF1658CDGPMI01]";"crew85"
6;"[20180811AF1567FLRCDG01,20180811AF1043GVACDG01,20180810AF1291CTACDG01,20180810AF1266CDGFLR01,20180811AF1042CDGGVA01,20180810AF1290CDGCTA01]";"crew86"
1;"[20180805AF384VLEDCDG01]";"crew87"
2;"[20180806AF1665LEDCDG01,20180805AF1464CDGLED01]";"crew88"
2;"[20180807AF1665LEDCDG01,20180806AF1464CDGLED01]";"crew89"
2;"[20180808AF1665LEDCDG01,20180807AF1464CDGLED01]";"crew90"
1;"[20180810AF1464CDGLED01]";"crew91"
2;"[20180809AF1089OTPCDG01,20180808AF1888CDGOTP01]";"crew92"
4;"[20180808AF1284CDGTUN01,20180808AF1381LHRCDG01,20180808AF1285TUNCDG01,20180807AF1280CDGLHR01]";"crew93"
2;"[20180810AF1044CDGSVO01,20180811AF1845SVOCDG01]";"crew94"
2;"[20180810AF1289BRICDG01,20180810AF7708CDGNCE01]";"crew95"
2;"[20180810AF1854CDGALG01,20180811AF1355ALGCDG01]";"crew96"
2;"[20180804AF1359RBACDG01,20180802AF1258CDGRBA01]";"crew97"
6;"[20180809AF1165BHXCDG01,20180810AF1359RBACDG01,20180811AF1359RBACDG01,20180809AF1164CDGBHX01,20180809AF1258CDGRBA01,20180810AF1258CDGRBA01]";"crew98"
3;"[20180805AF1146CDGWAW01,20180805AF1243GVACDG01,20180805AF1147WAWCDG01]";"crew99"
6;"[20180812AF1123MUCCDG01,20180810AF1001MADCDG01,20180810AF1000CDGMAD01,20180811AF1415ZRHCDG01,20180811AF1722CDGMUC01,20180810AF1614CDGZRH01]";"crew100"
3;"[20180805AF7681MPLCDG01,20180805AF1831MXPCDG01,20180805AF1830CDGMXP01]";"crew101"
5;"[20180805AF1262CDGARN01,20180806AF1146CDGWAW01,20180806AF1463ARNCDG01,20180805AF1033ATHCDG01,20180806AF1147WAWCDG01]";"crew102"
3;"[20180806AF1615ZRHCDG01,20180806AF1239VIECDG01,20180806AF1238CDGVIE01]";"crew103"
5;"[20180806AF7715NCECDG01,20180806AF1889OTPCDG01,20180805AF1259RBACDG01,20180806AF7708CDGNCE01,20180805AF1088CDGOTP01]";"crew104"
5;"[20180806AF1231MXPCDG01,20180806AF1767FLRCDG01,20180805AF1045SVOCDG01,20180806AF1766CDGFLR01,20180805AF1630CDGMXP01]";"crew105"
10;"[20180807AF1151CPHCDG01,20180806AF7689MPLCDG01,20180806AF7681MPLCDG01,20180806AF1726CDGVCE01,20180807AF1327VCECDG01,20180805AF7517TLSCDG01,20180806AF7688CDGMPL01,20180805AF7680CDGMPL01,20180805AF7516CDGTLS01,20180807AF1150CDGCPH01]";"crew106"
